text,true_label,predicted_label,is_correct,true_score,predicted_score,score_difference,confidence
"Сегодня я чувствую себя хорошо, день прошёл спокойно и продуктивно",positive,positive,True,82,66,16,51
"Мне удалось выполнить важную задачу, я доволен результатом и чувствую уверенность",positive,positive,True,90,66,24,51
"Сегодня было много приятных моментов, я чувствую радость и вдохновение",positive,positive,True,88,66,22,51
"Я хорошо отдохнул и чувствую прилив сил, настроение отличное",positive,positive,True,86,66,20,51
"День получился удачным, я справился с делами и чувствую удовлетворение",positive,positive,True,80,66,14,51
Я получил хорошие новости и почувствовал облегчение,positive,positive,True,84,66,18,51
"Сегодня я был спокоен, собран и доволен собой",positive,positive,True,78,66,12,51
"Мне понравилось, как прошёл день, я чувствую благодарность и спокойствие",positive,positive,True,87,66,21,51
Я смог разобраться с проблемой и теперь чувствую уверенность,positive,positive,True,83,66,17,51
"Настроение хорошее, я чувствую мотивацию продолжать работу",positive,positive,True,89,66,23,51
"Сегодня обычный день, ничего особенно хорошего или плохого не произошло",neutral,positive,False,50,66,16,51
"День прошёл спокойно, без сильных эмоций и важных событий",neutral,positive,False,52,66,14,51
"Я занимался обычными делами, настроение ровное и стабильное",neutral,positive,False,55,66,11,51
"Сегодня всё было примерно как обычно, без заметных изменений",neutral,positive,False,48,66,18,51
"Я не чувствую сильной радости или грусти, состояние нейтральное",neutral,positive,False,50,66,16,51
"День был спокойный, немного устал, но в целом всё нормально",neutral,positive,False,57,66,9,51
"Событий было немного, настроение среднее, без сильных переживаний",neutral,positive,False,53,66,13,51
"Сегодня я просто выполнял повседневные задачи, эмоционально всё ровно",neutral,positive,False,51,66,15,51
"Особых эмоций не было, день прошёл спокойно и предсказуемо",neutral,positive,False,49,66,17,51
"Настроение обычное, ничего критичного не произошло",neutral,positive,False,54,66,12,51
"Сегодня я сильно устал, не хватает сил и хочется просто лечь спать",negative,positive,False,22,66,44,51
"Мне тревожно, я переживаю из-за работы и не могу расслабиться",negative,positive,False,18,66,48,51
"День был тяжёлым, всё раздражало и ничего не получалось",negative,positive,False,15,66,51,51
"Я чувствую напряжение, усталость и недовольство собой",negative,positive,False,20,66,46,51
"Сегодня было много стресса, я чувствую себя подавленно",negative,positive,False,12,66,54,51
"Мне грустно, нет желания что-либо делать и сложно сосредоточиться",negative,positive,False,16,66,50,51
Я разочарован результатами дня и чувствую усталость,negative,positive,False,25,66,41,51
"Слишком много задач, я перегружен и чувствую тревогу",negative,positive,False,14,66,52,51
Сегодня я чувствовал раздражение и сильное эмоциональное напряжение,negative,positive,False,19,66,47,51
"Мне плохо, день прошёл тяжело и оставил неприятное ощущение",negative,positive,False,10,66,56,51
